start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
Buchanan Pl & Grand Ave,Seaman Ave & Beak St,3,40.85834,-73.90626,40.867505,-73.926363
Ithaca St & Baxter Ave,71 St & 32 Ave,4,40.74638,-73.88322,40.75675,-73.89595
Washington Pl & 6 Ave,Stagg St & Morgan Ave,6,40.732184172,-74.000214338,40.710681,-73.93372
E 142 St & 3 Ave,Longwood Ave & Southern Blvd,3,40.812675476,-73.923621774,40.816343,-73.896447
Lafayette St & Jersey St,Broadway & W 36 St,46,40.72469306,-73.996028662,40.75097711,-73.98765428
Park Pl & Franklin Ave,23 St & 3 Ave,1,40.6741806,-73.9564947,40.662611,-73.998623
E 85 St & 3 Ave,W 84 St & Columbus Ave,326,40.777971506,-73.954350471,40.78499979,-73.97283406
W 11 St & 6 Ave,Murray St & West St,27,40.73532427,-73.99800419,40.71503,-74.01246
30 Ave & 41 St,60 Pl & Linden St,2,40.763422,-73.914142,40.70886,-73.90182
E 114 St & 1 Ave,Riverside Dr & W 78 St,1,40.7945663,-73.9362541,40.78414472,-73.98362492
Bond St & Fulton St,57 St & 4 Ave,5,40.6896218879,-73.9830426872,40.642622,-74.016866
23 Ave & 27 St,E 102 St & Park Ave,2,40.77615273,-73.915280223,40.7904828,-73.95033068
W 44 St & 5 Ave,Pike St & E Broadway,18,40.75500254,-73.98014437,40.71406667,-73.99293911
E 103 St & Lexington Ave,E 27 St & 1 Ave,2,40.790352345,-73.947440267,40.739445,-73.976806
Broadway & W 56 St,Astoria Park S & Shore Blvd,3,40.765235424,-73.982393384,40.7767,-73.927631
W 89 St & Columbus Ave,Orchard St & Grand St,3,40.788334727,-73.970672011,40.717318403855785,-73.99067759513855
Jerome Ave & E 198 St,Plaza Dr & W 170 St,3,40.87144520687118,-73.89289632439613,40.840484,-73.917946
Central Ave & Weirfield St,Eastern Pkwy & Troy Ave,2,40.690575361,-73.911887169,40.66929,-73.93679
Murray St & Greenwich St,Menahan St & Wyckoff Ave,1,40.714738369,-74.011013865,40.70113,-73.91422
Metropolitan Ave & 65 Ln,Metropolitan Ave & 65 Ln,200,40.712285638,-73.890944362,40.71225,-73.89111
Rogers Ave & Lincoln Rd,Ocean Ave & Crooke Ave,13,40.661248565,-73.953533649,40.65326,-73.96172
W 22 St & 8 Ave,E 9 St & 5 Ave,114,40.74475148,-73.99915362,40.73275887045087,-73.99581670761108
Devoe St & Lorimer St,Halsey St & Evergreen Ave,2,40.713380694,-73.949096441,40.68858,-73.91227
Bond St & Fulton St,Washington Pl & Broadway,3,40.6896218879,-73.9830426872,40.72903917,-73.99404649
Willoughby Ave & Wyckoff Ave,Warren St & W Broadway,1,40.705501199,-73.921623588,40.71473993,-74.00910627
N 5 St & Northside Piers,W 46 St & 11 Ave,3,40.74227368333333,-73.95420061666667,40.76341379,-73.99667444
Clermont Ave & Park Ave,MacDonough St & Marcy Ave,10,40.695676208,-73.971269727,40.68078,-73.94613
Church St & Worth St,Ft. Hamilton Pkwy & E 5 St,1,40.716809869,-74.006138086,40.649037,-73.97673
Washington Pl & 6 Ave,W 165 St & Fort Washington Ave,1,40.732184172,-74.000214338,40.84004,-73.942939
Rivington St & Ridge St,Norfolk St & Broome St,669,40.71849978,-73.983341455,40.7172274,-73.98802084
Madison Ave & E 99 St,E 149 St & Morris Ave,2,40.78948541553215,-73.95242929458618,40.81734,-73.922962
Columbus Ave & W 103 St,E 123 St & Lexington Ave,10,40.797181606,-73.964235306,40.8029263,-73.9379
Tilden Ave & Nostrand Ave,Stagg St & Morgan Ave,1,40.646845698,-73.949517369,40.710681,-73.93372
Bridge St & Water St,Devoe St & Lorimer St,17,40.702486753,-73.984698534,40.71335226222875,-73.9491033554077
2 Ave & E 125 St,Jerome Ave & Anderson Ave,1,40.802502513,-73.933543682,40.830179,-73.928747
E 17 St & Broadway,John St & William St,88,40.736911416,-73.989566684,40.70862144,-74.00722156
Knickerbocker Ave & George St,53 Ave & 62 St,1,40.704356432,-73.928249002,40.73169,-73.90159
Brook Ave & E 141 St,Amsterdam Ave & W 131 St,13,40.809687138,-73.917818427,40.816355,-73.954295
E 167 St & Bryant Ave,Rogers Pl & E 165 St,6,40.826785803,-73.888575315,40.82388366441761,-73.8974027708582
Duffield St & Willoughby St,E 31 St & 3 Ave,4,40.69221589,-73.9842844,40.74394314,-73.97966069
Barclay St & Church St,Centre St & Worth St,118,40.71291224,-74.01020234,40.71494807,-74.00234482
Gansevoort St & Hudson St,Central Park W & W 97 St,4,40.739357948,-74.005149841,40.79249519495111,-73.96417066463071
5 St & Market St,Prospect Park SW & 10 Ave,1,40.699968934,-73.974680066,40.659945,-73.977504
Broadway & W 131 St,W 50 St & 10 Ave,6,40.81750679,-73.957184076,40.76473420006519,-73.99194359779358
Sterling Pl & 5 Ave,21 St & 4 Ave,30,40.678970070475735,-73.97855266928671,40.662584,-73.995554
Melrose Ave & E 150 St,Bainbridge Ave & E 198 St,3,40.816992998,-73.917337894,40.8684871,-73.8884559781
E 135 St & St Ann's Ave,5 Ave & E 72 St,1,40.805093288,-73.918996572,40.77282817,-73.96685276
Caton Ave & Bedford Ave,Smith St & 9 St,1,40.65232265,-73.956163168,40.6746957,-73.99785768
Maple St & New York Ave,46 St & 6 Ave,1,40.66104,-73.94795,40.645921,-74.005708
91 St & 23 Ave,South Railroad Ave & Broadway,1,40.76768,-73.87899,40.741,-73.88027
